id,employee_id,file_name,is_data_correct,is_data_entered,passport_expiry_date,visa_expiry_date,user_id,created_at,updated_at,deleted_at,is_passport,is_visa,is_photo,is_no_file_uploaded,issue,verify_count,re_entry,verifier1_id,verifier2_id,verifier1,verifier2,is_issue
32,10043,10043.jpg,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
33,10044,10044-1.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
34,10044,10044-19.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
35,10050,10050-19.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
36,10050,10050-21.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
37,10052,10052-19.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
38,10052,10052.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
39,10056,10056-19.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
40,10056,10056-23.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
41,10057,10057-19.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
42,10057,10057-23.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
43,10057,10057.pdf,0,0,NULL,NULL,2,0000-00-00 00:00:00,11/5/2024 11:28,NULL,1,1,1,1,NULL,0,1,NULL,NULL,NULL,NULL,0
44,10060,10060 VISA 23.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
45,10060,10060-19.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
46,10060,10060-21.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
47,10060,10060-R.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
48,10060,10060.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
49,10065,10065-23.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
50,10065,10065-R.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
51,10065,10065.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
52,10068,10068 - 24.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
53,10071,10071-23.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
54,10071,10071-VISA-2.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
55,10072,10072-2023-.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
56,10072,10072-22.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
57,10072,10072.jpg,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
58,10072,10072.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
59,10076,10076 - 24.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
60,10076,10076-24.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
61,10078,10078-24.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
62,10084,10084-R.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
63,10086,10086-18.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
64,10086,10086-20.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
65,10089,10089-18.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
66,10091,10091-20.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
67,10093,10093-20.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
68,10094,10094-18.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
69,10094,10094-20.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
70,10094,10094-22.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
71,10094,10094-R-22.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
72,10096,10096.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
73,10097,10097-18.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
74,10097,10097-20.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
75,10097,10097-R.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
76,10098,10098.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
77,10099,10099-R.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
78,10099,10099.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
79,10100,10100-18.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
80,10101,10101-18.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
81,10104,10104-2.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
82,10104,10104-20.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
83,10104,10104-R.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
84,10106,10106-18.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
85,10109,10109-20.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
86,10109,10109.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
87,10113,10113-19.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
88,10114,10114-19.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
89,10114,10114-21.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
90,10116,10116-18.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
91,10119,10119 PHT.jpg,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
92,10119,10119-19.pdf,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
93,10119,10119-21_Page1.jpg,0,0,0000-00-00,0000-00-00,2,0000-00-00 00:00:00,10/18/2024 6:16,NULL,1,1,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,0
